Product Name and specs,Price
"Skyworth 65"" Q6620G 4K QLED Google Smart Tv with Google Assistant","R 7,999"
"Skyworth 60"" Q6620H 4K QLED Google Smart TV with Google Assistant","R 6,999"
"Digimark - 32"" HD LED TV","R 1,368"
"Telefunken 43"" TLEDDS-43 FHD Full HD Android Smart TV","R 2,999"
"Omega 32"" HD Ready Non-Smart LED TV HDMI/USB/AV Made in South Africa","R 1,397"
"Telefunken 32"" TLEDD-32HD HD LED TV","R 1,599"
"Skyworth 40"" E5500H 2K QLED Google Smart TV with Google Assistant","R 3,299"
"Skyworth 43"" E5520H 2K QLED Google Smart TV with Google Assistant","R 3,999"
"Omega 40"" Full HD Non-Smart TV Wide Color Changer HDMI / USB / AV Mode","R 2,297"
"JVC 32"" NQ3155A QLED Android TV","R 1,899"
"Skyworth 32"" E5520H 2K QLED Google Smart TV","R 2,499"
"Skyworth 85"" G6700G 4K UHD Google Smart TV with Google Assistant","R 14,999"
"Hisense 32"" A4Q HD Smart TV with DTS-X & Dolby Audio","R 1,999"
"Hisense 58"" A6N 4K UHD Smart TV with HDR & Dolby Vision","R 5,499"
"Digimark - 32"" HD LED SMART WIFI TV","R 1,480"
Digimark 40'' HD Ready LED TV,"R 2,190"
"Condere - 32"" LED HD TV","R 1,440"
"Telefunken 40"" TLEDD-40FHD FHD LED TV","R 2,499"
"LH20 20"" HD Ready LED TV - 1440x900, HDMI, USB Playback, Headphone Jack",R 784
"Digimark 40"" Smart Wi-Fi Android Tv","R 2,698"
"Sinotec 55"" STL-55G2Q 4K QLED Google Smart TV with Eye Care","R 4,999"
"Sinotec 43"" STL-43G2 FHD LED Google Smart TV with Eye Care","R 3,499"
"Hisense 50"" E7Q 4K UHD QLED Smart TV with Dolby Vision","R 4,999"
"Supersonic 50"" Full HD Non-Smart LED TV HDMI/VGA/USB/AV Mode","R 3,797"
"Supersonic 43"" Full HD Non-Smart Frameless TV HDMI/ USB/ AV Mode","R 2,597"
"Lh20 Ecco 20"" LED TV with HDMI, USB, and 1440x900 Resolution",R 899
"Telefunken 55"" TLEDDS-55FHDB Full HD Android Smart TV","R 4,999"
"Telefunken 50"" TLEDD-50FHDA FHD LED TV","R 5,853"
"Hisense 40"" A4Q FHD Smart TV with DTS-X & Dolby Audio","R 2,999"
"Lh20 Ecco 20"" Led Tv","R 1,099"
"LH20 20"" HD Ready LED TV - Compact Entertainment with HDMI & USB Playback",R 999
"ECCO 32"" LED HD Ready TV LH32","R 1,599"
"Hisense 43"" A4Q FHD Smart TV with DTS-X & Dolby Audio","R 4,289"
"Samsung 75"" U8050F 4K Upscaling UHD Smart TV & Premium MetalStream Design","R 10,999"
"JVC 55"" NQ7145 4K UHD QLED Smart TV","R 4,999"
"JVC 49"" LT-49Q5165 FHD QLED Smart TV","R 3,999"
50'' Smart Led Hd Lexuco Tv,"R 4,048"
"Toshiba 40"" V35RP FHD Smart TV with Dolby Audio","R 2,999"
"Supersonic 50"" Full HD Smart TV Super Bright and Dynamic Sound 50C7","R 4,397"
"Hisense 55"" E7Q 4K UHD QLED Smart TV with Dolby Vision","R 5,999"
"Lexuco 32"" Smart Frameless TV - Modern Design","R 1,747"
"Samsung 50"" U8050F 4K UHD Smart TV with Premium Metal Stream Design","R 5,799"
"Samsung 32"" H5000F HD Tizen Smart TV with Smart Sound & Knox Security","R 2,999"
40inch Smart Tv,"R 2,484"
40inch Smart Tv,"R 2,484"
